MDRPY,MDRACTL,MDRCSNT,MDRFINAL,MDRRND,MDRVWL,MDRNSL,MDNLQDR,MDRTN,CTNPY,CTNACTL,CTNCSNT,CTNFINAL,CTNRND,CTNVWL,CTNNSL,CTNSTP,CTNTN,CHAR,FRQ,CMT
a,a,/,a,/,a,/,/,1,aa,aa,/,aa,/,aa,/,/,3,阿,1,
ai,ai,/,ai,/,ai,/,/,1,ngaai,ngaai,ng,aai,/,aai,/,/,1,挨,1,挨着墙
ai,ai,/,ai,/,ai,/,/,1,ngoi,ngoi,ng,oi,/,oi,/,/,1,埃,1,
ai,ai,/,ai,/,ai,/,/,2,ngaam,ngaam,ng,aam,/,aa,m,/,4,癌,2,
ai,ai,/,ai,/,ai,/,/,2,ngaai,ngaai,ng,aai,/,aai,/,/,4,挨,1,挨打／捱
ai,ai,/,ai,/,ai,/,/,3,ngai,ngai,ng,ai,/,ai,/,/,2,矮,1,
ai,ai,/,ai,/,ai,/,/,4,ngoi,ngoi,ng,oi,/,oi,/,/,3,爱,1,
ai,ai,/,ai,/,ai,/,/,4,ngoi,ngoi,ng,oi,/,oi,/,/,4,皑,3,
ai,ai,/,ai,/,ai,/,/,4,ngaai,ngaai,ng,aai,/,aai,/,/,6,艾,2,
an,an,/,an,/,a,n,/,1,ngon,ngon,ng,on,/,o,n,/,1,安,1,
an,an,/,an,/,a,n,/,1,ngam,ngam,ng,am,/,a,m,/,1,庵,2,
an,an,/,an,/,a,n,/,3,ngaan,ngaan,ng,aan,/,aa,n,/,2,俺,3,
an,an,/,an,/,a,n,/,4,ngon,ngon,ng,on,/,o,n,/,3,岸,1,
an,an,/,an,/,a,n,/,4,ngam,ngam,ng,am,/,a,m,/,3,暗,1,
ang,ang,/,ang,/,a,ng,/,1,ong,ong,/,ong,/,o,ng,/,1,肮,1,
ang,ang,/,ang,/,a,ng,/,2,ngong,ngong,ng,ong,/,o,ng,/,4,昂,1,
ang,ang,/,ang,/,a,ng,/,4,ngong,ngong,ng,ong,/,o,ng,/,3,盎,1,
ao,au,/,au,/,au,/,/,1,nap,nap,n,ap,/,a,/,p,1,凹,1,
ao,au,/,au,/,au,/,/,2,ngou,ngou,ng,ou,/,ou,/,/,4,熬,1,
ao,au,/,au,/,au,/,/,3,ngou,ngou,ng,ou,/,ou,/,/,2,袄,1,
ao,au,/,au,/,au,/,/,4,ngou,ngou,ng,ou,/,ou,/,/,3,奥,1,
er,ar,/,ar,/,a,/,r,2,ji,i,/,i,/,i,/,/,4,儿,1,
er,ar,/,ar,/,a,/,r,3,ji,i,/,i,/,i,/,/,5,尔,1,
er,ar,/,ar,/,a,/,r,4,ji,i,/,i,/,i,/,/,6,二,1,
ba,ba,b,a,/,a,/,/,1,baa,baa,b,aa,/,aa,/,/,1,巴,1,
ba,ba,b,a,/,a,/,/,1,baat,baat,b,aa,/,aa,/,t,3,八,1,
ba,ba,b,a,/,a,/,/,2,bat,bat,b,a,/,a,/,t,6,拔,1,
ba,ba,b,a,/,a,/,/,2,baat,baat,b,aa,/,aa,/,t,6,魃,3,
ba,ba,b,a,/,a,/,/,3,baa,baa,b,aa,/,aa,/,/,2,把,1,
ba,ba,b,a,/,a,/,/,4,baa,baa,b,aa,/,aa,/,/,3,霸,1,
ba,ba,b,a,/,a,/,/,4,baa,baa,b,aa,/,aa,/,/,1,爸,1,
bai,bai,b,ai,/,ai,/,/,1,baai,baai,b,aai,/,aai,/,/,1,掰,1,
bai,bai,b,ai,/,ai,/,/,2,baak,baak,b,aak,/,aa,/,k,6,白,1,
bai,bai,b,ai,/,ai,/,/,3,baak,baak,b,aak,/,aa,/,k,3,百,1,
bai,bai,b,ai,/,ai,/,/,3,baai,baai,b,aai,/,aai,/,/,2,摆,1,
bai,bai,b,ai,/,ai,/,/,4,baai,baai,b,aai,/,aai,/,/,6,败,1,
ban,ban,b,an,/,a,n,/,1,bun,bun,b,un,/,u,n,/,1,搬,1,
ban,ban,b,an,/,a,n,/,1,baan,baan,b,aan,/,aa,n,/,1,班,1,
ban,ban,b,an,/,a,n,/,3,baan,baan,b,aan,/,aa,n,/,2,版,1,
ban,ban,b,an,/,a,n,/,4,baan,baan,b,aan,/,aa,n,/,6,办,1,
ban,ban,b,an,/,a,n,/,4,bun,bun,b,un,/,u,n,/,6,伴,1,
ban,ban,b,an,/,a,n,/,4,bun,bun,b,un,/,u,n,/,3,半,1,
bang,bang,b,ang,/,a,ng,/,1,bong,bong,b,ong,/,o,ng,/,1,帮,1,
bang,bang,b,ang,/,a,ng,/,3,bong,bong,b,ong,/,o,ng,/,2,绑,1,
bang,bang,b,ang,/,a,ng,/,4,paang,paang,p,aang,/,aa,ng,/,5,棒,1,
bang,bang,b,ang,/,a,ng,/,4,bong,bong,b,ong,/,o,ng,/,6,磅,1,
bang,bang,b,ang,/,a,ng,/,4,pong,pong,p,ong,/,o,ng,/,5,蚌,2,
bao,bau,b,au,/,au,/,/,1,baau,baau,b,aau,/,aau,/,/,1,包,1,
bao,bau,b,au,/,au,/,/,1,bou,bou,b,ou,/,ou,/,/,1,煲,2,
bao,bau,b,au,/,au,/,/,2,bok,bok,b,ok,/,o,/,k,3,薄,1,
bao,bau,b,au,/,au,/,/,3,bou,bou,b,ou,/,ou,/,/,2,宝,1,
bao,bau,b,au,/,au,/,/,3,baau,baau,b,aau,/,aau,/,/,2,饱,2,
bao,bau,b,au,/,au,/,/,4,pou,pou,p,ou,/,ou,/,/,5,抱,2,
bao,bau,b,au,/,au,/,/,4,baau,baau,b,aau,/,aau,/,/,3,爆,1,
bao,bau,b,au,/,au,/,/,4,bou,bou,b,ou,/,ou,/,/,3,报,1,
bao,bau,b,au,/,au,/,/,4,paau,paau,p,aau,/,aau,/,/,3,豹,3,
bei,bei,b,ei,/,ei,/,/,1,bui,bui,b,ui,/,ui,/,/,6,背,1,
bei,bei,b,ei,/,ei,/,/,1,bui,bui,b,ui,/,ui,/,/,1,杯,1,
bei,bei,b,ei,/,ei,/,/,3,bak,bak,b,ak,/,a,/,k,1,北,1,
bei,bei,b,ei,/,ei,/,/,4,bei,bei,b,ei,/,ei,/,/,6,被,2,
bei,bei,b,ei,/,ei,/,/,4,bui,bui,b,ui,/,ui,/,/,3,贝,1,
bei,bei,b,ei,/,ei,/,/,4,pui,pui,p,ui,/,ui,/,/,5,倍,2,
ben,ben,b,en,/,e,n,/,1,ban,ban,b,an,/,a,n,/,1,奔,1,
ben,ben,b,en,/,e,n,/,3,bun,bun,b,un,/,u,n,/,2,本,1,
ben,ben,b,en,/,e,n,/,4,ban,ban,b,an,/,a,n,/,6,笨,1,
ben,ben,b,en,/,e,n,/,4,ban,ban,b,an,/,a,n,/,3,奔,3,
beng,beng,b,eng,/,e,ng,/,1,bang,bang,b,ang,/,a,ng,/,1,崩,1,
beng,beng,b,eng,/,e,ng,/,1,bang,bang,b,ang,/,a,ng,/,1,蹦,1,
beng,beng,b,eng,/,e,ng,/,4,bing,bing,b,ing,/,i,ng,/,3,迸,2,
beng,beng,b,eng,/,e,ng,/,4,bam,bam,b,am,/,a,m,/,1,泵,2,
bi,bi,b,i,/,i,/,/,1,bik,bik,b,ik,/,i,/,k,1,逼,1,
bi,bi,b,i,/,i,/,/,2,bei,bei,b,ei,/,ei,/,/,6,鼻,1,
bi,bi,b,i,/,i,/,/,3,bei,bei,b,ei,/,ei,/,/,2,比,1,
bi,bi,b,i,/,i,/,/,3,bat,bat,b,at,/,a,/,t,1,笔,1,
bi,bi,b,i,/,i,/,/,3,pei,pei,p,ei,/,ei,/,/,2,鄙,3,
bi,bi,b,i,/,i,/,/,4,bai,bai,p,ai,/,ai,/,/,6,币,1,
